caseid,1,2,3,4,5
633631,married,married,married,married,married
635411,married,married,married,married,married
636631,married,married,married,married,married
639211,married,married,married,,
640596,partnered,partnered,partnered,partnered,partnered
646613,partnered,partnered,,,
648586,partnered,partnered,,partnered,partnered
650616,partnered,partnered,partnered,partnered,partnered
651701,married,married,married,married,married
652271,married,married,married,married,married
654431,married,married,married,married,married
655505,partnered,partnered,partnered,,
656225,partnered,partnered,partnered,married,married
657761,married,,,married,married
658356,married,married,married,married,married
660391,married,married,married,married,married
661466,partnered,partnered,partnered,partnered,partnered
663872,married,married,,,
664501,married,married,married,married,married
665256,partnered,partnered,partnered,partnered,partnered
666686,partnered,partnered,partnered,partnered,partnered
668501,married,married,married,married,married
669511,married,married,married,married,married
670721,married,married,married,married,married
671481,married,married,married,married,married
672681,married,married,married,married,married
673371,married,married,married,married,married
675671,married,married,married,married,married
677226,partnered,partnered,married,married,married
680225,partnered,partnered,partnered,partnered,married
686266,partnered,partnered,partnered,,
689556,partnered,partnered,,partnered,partnered
690195,partnered,partnered,,,
692321,married,married,married,married,married
693365,partnered,partnered,married,married,married
696413,partnered,partnered,married,,married
697396,partnered,partnered,partnered,married,married
698271,married,married,married,married,married
700396,partnered,partnered,partnered,partnered,partnered
701496,partnered,partnered,partnered,partnered,partnered
704331,married,married,married,married,married
709205,partnered,partnered,,,
711676,partnered,partnered,partnered,partnered,partnered
712403,partnered,partnered,,,
714533,partnered,partnered,partnered,partnered,partnered
717491,married,married,,married,married
718255,partnered,partnered,married,married,married
719606,partnered,partnered,partnered,partnered,partnered
721305,partnered,partnered,,partnered,partnered
722225,partnered,partnered,partnered,,
723325,partnered,partnered,partnered,partnered,married
724301,married,married,married,married,married
725421,married,married,married,married,married
726441,married,married,married,married,married
727261,married,married,married,married,married
729486,partnered,partnered,,partnered,partnered
731431,married,married,,married,married
733315,partnered,partnered,partnered,partnered,partnered
734541,married,married,married,married,married
735751,married,married,,,
737741,married,married,married,married,married
740205,partnered,partnered,,,
741351,married,married,married,married,married
742246,partnered,partnered,married,married,married
744391,married,married,,married,married
745435,partnered,partnered,,partnered,partnered
747281,married,,married,married,married
748371,married,married,married,married,married
749566,partnered,partnered,partnered,partnered,partnered
750561,married,married,married,married,married
752271,married,married,married,married,married
754281,married,married,married,married,married
755501,married,married,married,married,married
756296,partnered,partnered,partnered,partnered,partnered
758456,partnered,partnered,partnered,partnered,partnered
761391,married,married,married,married,married
762205,married,married,,married,married
767351,married,married,,,
768371,married,married,married,married,married
771351,married,married,married,married,married
772291,married,married,married,married,married
773351,married,married,married,married,married
774401,married,married,married,,
775703,partnered,partnered,partnered,partnered,partnered
777281,married,married,married,married,married
778421,married,married,married,married,married
780753,partnered,partnered,partnered,partnered,partnered
781615,partnered,partnered,partnered,partnered,partnered
782861,married,married,married,married,married
784651,married,married,,married,married
786215,partnered,partnered,partnered,partnered,partnered
787561,married,married,married,married,married
788331,married,married,married,married,married
789391,married,married,married,married,married
790595,partnered,partnered,,,
791225,partnered,partnered,,,
794276,partnered,partnered,partnered,partnered,partnered
797421,married,married,,,
798543,partnered,partnered,partnered,,
799451,married,married,married,married,married
800531,married,married,,married,married
803573,partnered,partnered,,partnered,partnered
805546,partnered,partnered,partnered,partnered,partnered
806551,married,married,married,married,married
808583,partnered,partnered,partnered,,
809281,married,married,,married,married
810426,partnered,partnered,partnered,partnered,partnered
811741,married,married,married,married,married
813506,married,married,,,
816456,partnered,partnered,partnered,partnered,partnered
817691,married,married,,,
818301,married,married,married,married,married
819481,married,married,married,married,married
820666,partnered,partnered,partnered,partnered,partnered
825281,married,married,married,married,married
826486,partnered,partnered,partnered,,
828286,married,married,,married,married
829216,partnered,partnered,,,
830551,married,married,married,married,married
831431,married,married,married,married,married
832551,married,married,married,married,married
834531,married,married,married,married,married
836491,partnered,partnered,,married,married
837215,partnered,partnered,partnered,,
838523,partnered,partnered,partnered,partnered,partnered
839386,partnered,partnered,partnered,partnered,partnered
840205,partnered,partnered,,,
841581,married,,married,married,married
842195,partnered,partnered,partnered,partnered,partnered
